Order,Family,Species,CITES_YEAR,CITES_2013
Rhinopristiformes,Pristidae,Anoxypristis cuspidata,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis clavata,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis pectinata,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis pristis,Appendix I (2007),1
Rhinopristiformes,Pristidae,Pristis zijsron,Appendix I (2007),1
Lamniformes,Cetorhinidae,Cetorhinus maximus,Appendix II (2003),1
Orectolobiformes,Rhincodontidae,Rhincodon typus,Appendix II (2003),1
Lamniformes,Lamnidae,Carcharodon carcharias,Appendix II (2005),1
Carcharhiniformes,Carcharhinidae,Carcharhinus longimanus,Appendix II (2013),1
Carcharhiniformes,Sphyrnidae,Sphyrna lewini,Appendix II (2013),1
Carcharhiniformes,Sphyrnidae,Sphyrna mokarran,Appendix II (2013),1
Carcharhiniformes,Sphyrnidae,Sphyrna zygaena,Appendix II (2013),1
Lamniformes,Lamnidae,Lamna nasus,Appendix II (2013),1
Myliobatiformes,Mobulidae,Mobula alfredi,Appendix II (2013),1
Myliobatiformes,Mobulidae,Mobula birostris,Appendix II (2013),1
Carcharhiniformes,Carcharhinidae,Carcharhinus falciformis,Appendix II (2017),0
Lamniformes,Alopiidae,Alopias pelagicus,Appendix II (2017),0
Lamniformes,Alopiidae,Alopias superciliosus,Appendix II (2017),0
Lamniformes,Alopiidae,Alopias vulpinus,Appendix II (2017),0
Myliobatiformes,Mobulidae,Mobula hypostoma,Appendix II (2017),0
Myliobatiformes,Mobulidae,Mobula kuhlii,Appendix II (2017),0
Myliobatiformes,Mobulidae,Mobula mobular,Appendix II (2017),0
Myliobatiformes,Mobulidae,Mobula munkiana,Appendix II (2017),0
Myliobatiformes,Mobulidae,Mobula tarapacana,Appendix II (2017),0
Myliobatiformes,Mobulidae,Mobula thurstoni,Appendix II (2017),0
Lamniformes,Lamnidae,Isurus oxyrinchus,Appendix II (2019),0
Lamniformes,Lamnidae,Isurus paucus,Appendix II (2019),0
Rhinopristiformes,Glaucostegidae,Glaucostegus cemiculus,Appendix II (2019),0
Rhinopristiformes,Glaucostegidae,Glaucostegus granulatus,Appendix II (2019),0
Rhinopristiformes,Glaucostegidae,Glaucostegus halavi,Appendix II (2019),0
Rhinopristiformes,Glaucostegidae,Glaucostegus obtusus,Appendix II (2019),0
Rhinopristiformes,Glaucostegidae,Glaucostegus thouin,Appendix II (2019),0
Rhinopristiformes,Glaucostegidae,Glaucostegus typus,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhina ancylostoma,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus australiae,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus cooki,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus djiddensis,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus immaculatus,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus laevis,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus luebberti,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus palpebratus,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchobatus springeri,Appendix II (2019),0
Rhinopristiformes,Rhinidae,Rhynchorhina mauritaniensis,Appendix II (2019),0
Carcharhiniformes,Carcharhinidae,Carcharhinus acronotus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus albimarginatus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus altimus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus amblyrhynchoides,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus amblyrhynchos,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus amboinensis,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus borneensis,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus brachyurus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus brevipinna,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus cautus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus cerdale,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus coatesi,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus dussumieri,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus fitzroyensis,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus galapagensis,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus hemiodon,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus humani,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus isodon,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus leiodon,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus leucas,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus limbatus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus macloti,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus melanopterus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus obscurus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus perezi,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus plumbeus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus porosus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus sealei,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus signatus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus sorrah,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus tilstoni,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Carcharhinus tjutjot,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Galeocerdo cuvier,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Glyphis gangeticus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Glyphis garricki,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Glyphis glyphis,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Isogomphodon oxyrhynchus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Lamiopsis temminckii,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Lamiopsis tephrodes,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Loxodon macrorhinus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Nasolamia velox,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Negaprion acutidens,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Negaprion brevirostris,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Prionace glauca,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon acutus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon lalandii,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon longurio,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon oligolinx,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon porosus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon taylori,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Rhizoprionodon terraenovae,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Scoliodon laticaudus,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Scoliodon macrorhynchos,Appendix II (2022),0
Carcharhiniformes,Carcharhinidae,Triaenodon obesus,Appendix II (2022),0
Carcharhiniformes,Sphyrnidae,Eusphyra blochii,Appendix II (2022),0
Carcharhiniformes,Sphyrnidae,Sphyrna corona,Appendix II (2022),0
Carcharhiniformes,Sphyrnidae,Sphyrna gilberti,Appendix II (2022),0
Carcharhiniformes,Sphyrnidae,Sphyrna media,Appendix II (2022),0
Carcharhiniformes,Sphyrnidae,Sphyrna tiburo,Appendix II (2022),0
Carcharhiniformes,Sphyrnidae,Sphyrna tudes,Appendix II (2022),0
Myliobatiformes,Potamotrygonidae,Potamotrygon henlei,Appendix II (2022),0
Myliobatiformes,Potamotrygonidae,Potamotrygon leopoldi,Appendix II (2022),0
Myliobatiformes,Potamotrygonidae,Potamotrygon signata,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus annulatus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus blochii,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus leucospilus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus ocellatus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus omanensis,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus salalah,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus variegatus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Acroteriobatus zanzibarensis,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos glaucostigmus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos horkelii,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos lentiginosus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos leucorhynchus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos percellens,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos planiceps,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos prahli,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Pseudobatos productus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos albomaculatus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos annandalei,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos borneensis,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos holcorhynchus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos hynnicephalus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos irvinei,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos jimbaranensis,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos lionotus,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos manai,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos nudidorsalis,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos penggali,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos punctifer,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos rhinobatos,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos sainsburyi,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos schlegelii,Appendix II (2022),0
Rhinopristiformes,Rhinobatidae,Rhinobatos whitei,Appendix II (2022),0