Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,II,Acipenser gueldenstaedtii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,RU,UA,,,50,fins,,S,W
2012,II,Arapaima gigas,Actinopteri,Osteoglossiformes,Arapaimidae,Arapaima,FI,PE,,,100,fins,,S,C
2012,II,Cetorhinus maximus,Elasmobranchii,Lamniformes,Cetorhinidae,Cetorhinus,HK,NO,,576.3,605.6,fins,kg,T,W
2012,II,Tursiops truncatus,Mammalia,Cetacea,Delphinidae,Tursiops,US,CN,,,3,fins,,Q,C
2013,I,Cheloniidae spp.,Reptilia,Testudines,Cheloniidae,,US,NI,,3,,fins,kg,T,I
2013,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,SC,,,100.14,fins,,T,W
2013,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,BR,US,,,1,fins,,E,O
2013,II,Sphyrna spp.,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SC,,,98.60,fins,,T,W
2013,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,BR,US,,,1,fins,,E,O
2013,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,BR,,104,,fins,,T,I
2013,III,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,AU,NZ,,13.3,13.30,fins,kg,T,W
2013,III,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,ES,JP,XX,602,,fins,kg,T,W
2013,III,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,SG,ES,JP,,586,fins,kg,T,W
2013,III,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,TH,GB,US,,1,fins,,S,O
2013,III,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,TH,GB,US,,1,fins,,S,O
2014,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CA,FR,,,0.3,fins,kg,T,C
2014,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CN,FR,,,4.4,fins,kg,T,C
2014,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,FR,,,0.3,fins,kg,T,C
2014,II,Acipenser baerii,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,FR,,76,,fins,,S,C
2014,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,ET,AE,YE,,3,fins,,T,W
2014,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,SG,LK,,451,451,fins,kg,T,W
2014,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,AU,NZ,,37.7,37.7,fins,kg,T,W
2014,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,HK,SG,XX,,1000,fins,kg,T,O
2014,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,MX,,,4243.91,fins,kg,T,W
2014,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,,22.5,fins,kg,T,W
2014,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SV,,,434,fins,,T,W
2014,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,SG,LK,,160,160,fins,kg,T,W
2014,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,BZ,,29600,,fins,kg,T,I
2014,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,XX,CL,,,14,fins,,S,W
2014,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,MX,,,250,fins,kg,T,W
2014,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,,43.18,fins,kg,T,W
2014,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SG,XX,,872,fins,kg,T,O
2014,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,MX,,,340,fins,kg,T,O
2014,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,SN,,,180,fins,kg,T,W
2014,III,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,ET,AE,XX,,3,fins,,E,W
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,SG,LK,745.6,1153,fins,kg,T,W
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,US,FJ,,4,fins,,Q,O
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,OM,AE,YE,,3,fins,,E,W
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,PH,US,FJ,,4,fins,,E,W
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,SG,LK,,872,872,fins,kg,T,W
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,HK,FJ,4,,fins,,E,W
2015,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,XX,EC,,,9,fins,,T,W
2015,II,Carcharodon carcharias,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,HK,NI,,236.09,144.8818207,fins,kg,T,W
2015,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,HK,US,,,2,fins,,Q,O
2015,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,PH,US,,,2,fins,,E,W
2015,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,HK,US,2,,fins,,E,W
2015,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,XX,CL,,,8,fins,,S,W
2015,II,Arctocephalus pusillus,Mammalia,Carnivora,Otariidae,Arctocephalus,HK,NA,,,20,fins,,T,
2015,II,Sphyrna spp.,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,NI,,,180.43,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,MX,,,5230.10,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,239.41,393.01,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,CR,,297.83,342.05,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,MX,,6506.85,73.04,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,NI,,294.34,217.27,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SG,LK,,146.5,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SG,XX,,901,fins,kg,T,O
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SV,,402.88,,fins,kg,T,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,US,,,14,fins,,Q,O
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,OM,AE,XX,,3,fins,,E,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,PH,US,ZA,,4,fins,,E,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,PH,US,,,8,fins,,E,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,HK,US,14,,fins,,E,W
2015,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,HK,XX,700,,fins,g,T,I
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,MX,,,8898.35,fins,kg,T,W
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,345.67,235.82,fins,kg,T,W
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,MX,,3260.70,,fins,kg,T,W
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,US,,,3,fins,,Q,O
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,PH,US,,,3,fins,,E,W
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,HK,US,3,,fins,,E,W
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,HK,XX,25,,fins,g,T,I
2015,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,MX,XX,1,,fins,,P,I
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CL,MX,,,878,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,MX,,,3639,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,CN,SN,,,480,fins,,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,64.5,64.5,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,CR,,648.22,858.1,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,MX,,6669.5,6061.5,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SG,LK,149,149,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,SG,LK,,150,50,fins,kg,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,SG,LK,,,100,fins,,T,W
2015,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,CR,,,6,fins,,S,W
2015,II,Hippocampus erectus,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,US,BS,,200,,fins,,S,W
2016,I,Pristis spp.,Elasmobranchii,Pristiformes,Pristidae,Pristis,SN,US,XX,,1,fins,,L,I
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,DO,US,FJ,,4,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,FJ,US,FJ,,8,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,IN,,,1431,fins,kg,T,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,HK,SG,XX,1200,1200,fins,kg,T,O
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,LK,MV,LK,4,,fins,,E,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,LK,ZA,LK,4,4,fins,,E,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,MV,LK,,,4,fins,,E,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,MV,US,FJ,,4,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,PE,CR,,4,,fins,,E,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,SN,US,FJ,,4,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,SN,US,XX,1,1,fins,,L,I
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,DO,US,4,,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,FJ,,4,,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,LK,FJ,4,,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,SN,FJ,4,,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,SN,US,,4,fins,,S,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,US,ZA,FJ,4,,fins,,Q,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,ZA,LK,,4,4,fins,,E,W
2016,II,Carcharhinus longimanus,Elasmobranchii,Carcharhiniformes,Carcharhinidae,Carcharhinus,ZA,US,FJ,,4,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,DO,US,,,2,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,FJ,US,,,4,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,MV,US,,,2,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,PE,CR,,18,,fins,,E,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,SN,US,,,2,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,DO,US,2,,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,FJ,US,2,,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,LK,US,2,,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,SN,US,2,,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,SN,US,,2,fins,,S,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,US,ZA,US,2,,fins,,Q,W
2016,II,Lamna nasus,Elasmobranchii,Lamniformes,Lamnidae,Lamna,ZA,US,,,2,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,DO,US,ZA,,3,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,FJ,US,ZA,,3,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,327.93,337.23,fins,kg,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,,13.55,fins,,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,KR,,892,892,fins,kg,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,MX,,6402.66,6401.07,fins,kg,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,NI,,387.41,953.41,fins,kg,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,NI,,,50,fins,,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,PE,,,1076,fins,,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SV,,1109.71,7039.21,fins,kg,T,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,MV,US,ZA,,3,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,PE,CR,,5,,fins,,E,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,SN,US,ZA,,3,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,DO,ZA,3,,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,FJ,ZA,3,,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,LK,ZA,3,,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,SN,US,,3,fins,,S,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,SN,ZA,3,,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,ZA,,3,,fins,,Q,W
2016,II,Sphyrna lewini,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,ZA,US,ZA,,3,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,DO,US,,,2,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,FJ,US,,,2,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,976.20,1214.28,fins,kg,T,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,,11.47,fins,,T,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,NI,,177,86,fins,kg,T,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,NI,,,50,fins,,T,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,SG,XX,4750,4750,fins,kg,T,O
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,MV,US,,,2,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,SN,US,XX,1,1,fins,,L,I
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,SN,US,,,2,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,DO,US,2,,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,FJ,US,2,,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,LK,US,2,,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,SN,US,2,,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,SN,US,,2,fins,,S,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,US,ZA,US,2,,fins,,Q,W
2016,II,Sphyrna mokarran,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,ZA,US,,,2,fins,,Q,W
2016,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,AU,,6.72,6.72,fins,kg,T,W
2016,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,MX,,10425.246,18757.28,fins,kg,T,W
2016,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,HK,PE,,,1356,fins,,T,W
2016,II,Sphyrna zygaena,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,PE,CR,,10,,fins,,E,W
2017,II,Acipenser fulvescens,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,CA,,30,,fins,,P,W
2017,II,Acipenser transmontanus,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,TW,CA,,,1.8,fins,kg,T,C
2017,II,Huso huso,Actinopteri,Acipenseriformes,Acipenseridae,Huso,RU,US,,,15,fins,,S,F
2017,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,FJ,US,,5,,fins,,Q,W
2017,II,Alopias spp.,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,SV,,80.45,513.6,fins,kg,T,W
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CN,MX,,,1871.52,fins,kg,T,O
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,CV,US,LK,,1,fins,,Q,W
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,CR,,,303.05,fins,kg,T,W
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,EC,,,16005.9,fins,kg,T,O
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,MX,,250,,fins,kg,T,O
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,HK,PE,,750,3283.86,fins,kg,T,W
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,PE,EC,,,14029,fins,kg,T,O
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,PE,EC,,2116,2116,fins,kg,T,W
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,US,MR,LK,1,,fins,,Q,W
2017,II,Alopias pelagicus,Elasmobranchii,Lamniformes,Alopiidae,Alopias,US,SN,LK,1,,fins,,Q,W
