RFMO,Year,faoEN,faoSp,Common,Species,Binding,Measure,Note1,Note2,Note3,Note4
ICCAT,2018,NA,NA,NA,NA,binding,Recommendation,Rec. 18-06BindingReplaces,Recommendation by ICCAT to replace Recommendation 16-13 on improvement of compliance review of conservation and management measures regarding sharks caught in association with ICCAT fisheries.,NA,NA
IOTC,2018,NA,NA,NA,NA,binding,Resolution,Resolution 18/04Non Binding,On BIOFAD experimental project.,NA,NA
NEAFC,2018,NA,NA,NA,NA,binding,Conservation measure,Recommendation 7 : 2018BindingReplaces,Recommendation on Deep-Sea Fisheries within the NEAFC Regulatory Area.,NA,NA
ICCAT,2019,NA,NA,NA,NA,binding,Recommendation,Rec. 19-01Binding,"Recommendation by ICCAT on fishes considered to be tuna and tuna-like species or oceanic, pelagic, and highly migratory elasmobranchs.",NA,NA
WCPFC,2019,NA,NA,NA,NA,binding,Conservation measure,CMM 2019-05Binding,Conservation and Management Measure on Mobulid Rays caught in association with fisheries in the WCPFC Convention Area.,NA,NA
IATTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution C-19-01BindingReplaces,Amendment to resolution C-18-05 on the collection and analyses of data on fish-aggregating devices.,NA,NA
IATTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution C-04-05 (REV 3)Non BindingReplaces,Consolidated Resolution on Bycatch.,NA,NA
IOTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution 19/02BindingReplaces,Procedures on a fish aggregating devices (FADs) management plan.,NA,NA
IOTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution 19/03Binding,On the conservation of Mobulid rays caught in association with fisheries in the IOTC area of competence.,NA,NA
IOTC,2019,NA,NA,NA,NA,binding,Resolution,Resolution 19/05BindingReplaces,"On a ban on discards of bigeye tuna, skipjack tuna, yellowfin tuna, and non-targeted species caught by purse seine vessels in the IOTC area of competence.",NA,NA
GFCM,2021,NA,NA,NA,NA,binding,Recommendation,GFCM/44/2021/16Binding,Recommendation GFCM/44/2021/1 on additional mitigation measures for the conservation of elasmobranchs in the Mediterranean Sea.,NA,NA
WCPFC,2021,NA,NA,NA,NA,binding,Recommendation,Suppl_CMM 2019-04Non Binding,Best Handling Practices for the Safe Release of Mantas & Mobulids.,NA,NA
SEAFO,2021,NA,NA,NA,NA,binding,Conservation measure,Reporting Obligations 2021BindingReplaces,Summary of Reporting Obligations 2021.,NA,NA
GFCM,2022,NA,NA,NA,NA,binding,Recommendation,GFCM/45/2022/13Binding,"Recommendation GFCM/45/2022/13 on the establishment of a GFCM logbook, amending Recommendation GFCM/35/2011/1.",NA,NA
WCPFC,2022,NA,NA,NA,NA,binding,Conservation measure,CMM 2022-04BindingReplaces,Conservation and Management Measure for Sharks.,NA,NA
CITES,2022,NA,NA,NA,Acroteriobatus omanensis,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus omanensis.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus zanzibarensis.,NA,NA
CITES,2022,NA,NA,NA,Pseudobatos buthi,binding,Appendix,Binding,CITES Appendix II - Pseudobatos buthi.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos austini,binding,Appendix,Binding,CITES Appendix II - Rhinobatos austini.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos borneensis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos borneensis.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos jimbaranensis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos jimbaranensis.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos manai,binding,Appendix,Binding,CITES Appendix II - Rhinobatos manai.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos nudidorsalis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos nudidorsalis.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos penggali,binding,Appendix,Binding,CITES Appendix II - Rhinobatos penggali.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos ranongensis,binding,Appendix,Binding,CITES Appendix II - Rhinobatos ranongensis.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos sainsburyi,binding,Appendix,Binding,CITES Appendix II - Rhinobatos sainsburyi.,NA,NA
CITES,2022,NA,NA,NA,Rhinobatos whitei,binding,Appendix,Binding,CITES Appendix II - Rhinobatos whitei.,NA,NA
CITES,2022,NA,NA,NA,Carcharhinus cerdale,binding,Appendix,Binding,CITES Appendix II - Carcharhinus cerdale.,NA,NA
CITES,2022,NA,NA,NA,Carcharhinus coatesi,binding,Appendix,Binding,CITES Appendix II - Carcharhinus coatesi.,NA,NA
CITES,2022,NA,NA,NA,Carcharhinus humani,binding,Appendix,Binding,CITES Appendix II - Carcharhinus humani.,NA,NA
CITES,2022,NA,NA,NA,Carcharhinus obsoletus,binding,Appendix,Binding,CITES Appendix II - Carcharhinus obsoletus.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon albimaculata.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon henlei (Bigtooth river stingray).,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon jabuti.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon leopoldi (Black Xingu freshwater stingray).,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon marquesi.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon signata.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Potamotrygon wallacei (Wallace's freshwater or curucu stingray).,NA,NA
CITES,2022,NA,NA,NA,Carcharhinus tjutjot,binding,Appendix,Binding,CITES Appendix II - Carcharhinus tjutjot.,NA,NA
CITES,2022,NA,NA,NA,Glyphis garricki,binding,Appendix,Binding,CITES Appendix II - Glyphis garricki.,NA,NA
CITES,2022,NA,NA,NA,Lamiopsis tephrodes,binding,Appendix,Binding,CITES Appendix II - Lamiopsis tephrodes.,NA,NA
CITES,2022,NA,NA,NA,NA,binding,Appendix,Binding,CITES Appendix II - Scoliodon macrorhyncos.,NA,NA
CITES,2022,NA,NA,NA,Sphyrna gilberti,binding,Appendix,Binding,CITES Appendix II - Sphyrna gilberti (Carolina hammerhead).,NA,NA
CCAMLR,2023,NA,NA,NA,NA,binding,Conservation measure,Conservation Measure 33-02 (2023)BindingReplaces,Limitation of by-catch in Statistical Division 58.5.2 in the 2023/24 season.,NA,NA
CCAMLR,2023,NA,NA,NA,NA,binding,Conservation measure,Conservation Measure 33-03 (2023)Non Binding,Limitation of by-catch in new and exploratory fisheries in the 2023/24 season.,NA,NA
CCAMLR,2023,NA,NA,NA,NA,binding,Conservation measure,Conservation Measure 41-01 (2023)Non BindingReplaces,Annex 41-01/C Tagging program for Dissostichus spp. and skates in exploratory fisheries. General measures for exploratory fisheries for Dissostichus spp. in the Convention Area in the 2023/24 season.,NA,NA
CCSBT,2023,NA,NA,NA,NA,binding,Resolution,CCSBT. 2023Non Binding,"Resolution to Align CCSBT’s Ecologically Related Species measures with those of other tuna RFMOs (Adopted October 2018, revised October 2019, October 2020, October 2021 and October 2023).",NA,NA
IOTC,2023,NA,NA,NA,NA,binding,Resolution,Resolution 23/05BindingReplaces,Resolution 23/05 on establishing a programme for transhipment by large-scale fishing vessels,NA,NA
NEAFC,2023,NA,NA,NA,NA,binding,Recommendation,Recommendation 09:2023Binding,Recommendation to add additional deep-sea chimaera species to the NEAFC Scheme of Control and Enforcement.,NA,NA
NAFO,2024,NA,NA,NA,NA,binding,Conservation measure,NAFO/COM Doc. 24-01BindingReplaces,Article 12 – Conservation and Management of Sharks. Northwest Atlantic Fisheries Organization Conservation and Enforcement Measures 2024.,NA,NA
NAFO,2024,NA,NA,NA,NA,binding,Conservation measure,NAFO/COM Doc. 24-01 Annex I.ABindingReplaces,Annex I.A – Annual Quota Table. NAFO/COM Doc. 24-01,NA,NA
NEAFC,2024,NA,NA,NA,NA,binding,Recommendation,Recommendation 08:2024BindingReplaces,Recommendation on Conservation and Management Measure for Deep Sea Chimaeras in the NEAFC Regulatory Area from 2024 to 2027.,NA,NA
CITES,2013,NA,NA,Reef Manta Ray,NA,binding,Appendix,Binding,CITES Appendix II - Manta alfredi (Reef manta ray).,NA,NA
CMS,2014,NA,NA,Reef Manta Ray,NA,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Manta alfredi (Reef Manta Ray).",NA,NA
CMS,2014,NA,NA,Spinetail mobula,NA,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Mobula japanica (Spinetail mobula).",NA,NA
CITES,2017,NA,NA,Spinetail mobula,NA,binding,Appendix,Binding,CITES Appendix II - Mobula japanica (Spinetail mobula).,NA,NA
CITES,2022,NA,NA,Stripenose guitarfish,Acroteriobatus variegatus,binding,Appendix,Binding,CITES Appendix II - Acroteriobatus variegatus (Stripenose guitarfish).,NA,NA
CITES,2022,Whitenose shark,Nasolamia velox,NA,Nasolamia velox,binding,Appendix,Binding,CITES Appendix II - Nasolamia velox (Whitenose shark).,NA,NA
CITES,2022,Sicklefin lemon shark,Negaprion acutidens,NA,Negaprion acutidens,binding,Appendix,Binding,CITES Appendix II - Negaprion acutidens (Sicklefin lemon shark).,NA,NA
CITES,2022,Lemon shark,Negaprion brevirostris,NA,Negaprion brevirostris,binding,Appendix,Binding,CITES Appendix II - Negaprion brevirostris (Lemon shark).,NA,NA
CMS,2017,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Appendix,Non Binding,CMS Appendix II - Prionace glauca (Blue shark).,NA,NA
IOTC,2018,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Resolution,Resolution 18/02Non Binding,On management measures for the conservation of blue shark caught in association with IOTC fisheries.,NA,NA
ICCAT,2021,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Recommendation,Rec. 21-10Binding,Recommendation by ICCAT amending Recommendation 19-07 amending the Recommendation 16 12 on management measures for the conservation of the North Atlantic blue shark caught in association with ICCAT fisheries.,NA,NA
ICCAT,2021,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Recommendation,Rec. 21-11Binding,Recommendation by ICCAT amending Recommendation 19-08 on management measures for the conservation of South Atlantic blue shark caught in association with ICCAT fisheries.,NA,NA
CITES,2022,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Appendix,Binding,CITES Appendix II - Prionace glauca (Blue shark).,NA,NA
ICCAT,2023,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Recommendation,Rec. 23-10BindingReplaces,Recommendation by ICCAT to replace recommendation 19-07 on management measures for the conservation of North Atlantic blue shark caught in association with ICCAT fisheries.,NA,NA
ICCAT,2023,Blue shark,Prionace glauca,Blue shark,Prionace glauca,binding,Recommendation,Rec. 23-11BindingReplaces,Recommendation by ICCAT to replace recommendation 19-08 on management measures for the conservation of South Atlantic blue shark caught in association with ICCAT fisheries.,NA,NA
CITES,2007,Dwarf sawfish,Pristis clavata,Dwarf sawfish,Pristis clavata,binding,Appendix,Binding,CITES Appendix I - Pristis clavata (Dwarf sawfish).,NA,NA
CMS,2014,Dwarf sawfish,Pristis clavata,Dwarf sawfish,Pristis clavata,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Pristis clavata (Dwarf sawfish).",NA,NA
CITES,2007,Smalltooth sawfish,Pristis pectinata,Smalltooth sawfish,Pristis pectinata,binding,Appendix,Binding,CITES Appendix I - Pristis pectinata (Smalltooth sawfish).,NA,NA
CMS,2014,Smalltooth sawfish,Pristis pectinata,Smalltooth sawfish,Pristis pectinata,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Pristis pectinata (Smalltooth sawfish).",NA,NA
CITES,2007,Common sawfish,Pristis pristis,Common sawfish,Pristis pristis,binding,Appendix,Binding,CITES Appendix I - Pristis pristis (Common sawfish).,NA,NA
CMS,2014,Common sawfish,Pristis pristis,Common sawfish,Pristis pristis,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Pristis pristis (Common sawfish).",NA,NA
CITES,2007,Longcomb sawfish,Pristis zijsron,Longcomb sawfish,Pristis zijsron,binding,Appendix,Binding,CITES Appendix I - Pristis zijsron (Longcomb sawfish).,NA,NA
CMS,2014,Longcomb sawfish,Pristis zijsron,Longcomb sawfish,Pristis zijsron,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2016) - Pristis zijsron (Longcomb sawfish).",NA,NA
CITES,2022,Speckled guitarfish,Pseudobatos glaucostigma,NA,NA,binding,Appendix,Binding,CITES Appendix II - Pseudobatos glaucostigma (Speckled guitarfish).,NA,NA
CITES,2022,Brazilian guitarfish,Pseudobatos horkelii,Brazilian guitarfish,Pseudobatos horkelii,binding,Appendix,Binding,CITES Appendix II - Pseudobatos horkelii (Brazilian guitarfish).,NA,NA
CITES,2022,Atlantic guitarfish,Pseudobatos lentiginosus,NA,Pseudobatos lentiginosus,binding,Appendix,Binding,CITES Appendix II - Pseudobatos lentiginosus (Atlantic guitarfish).,NA,NA
CITES,2022,Whitesnout guitarfish,Pseudobatos leucorhynchus,NA,Pseudobatos leucorhynchus,binding,Appendix,Binding,CITES Appendix II - Pseudobatos leucorhynchus (Whitesnout guitarfish).,NA,NA
CITES,2022,Chola guitarfish,Pseudobatos percellens,NA,Pseudobatos percellens,binding,Appendix,Binding,CITES Appendix II - Pseudobatos percellens (Chola guitarfish).,NA,NA
CITES,2022,Pacific guitarfish,Pseudobatos planiceps,NA,Pseudobatos planiceps,binding,Appendix,Binding,CITES Appendix II - Pseudobatos planiceps (Pacific guitarfish).,NA,NA
CITES,2022,Gorgona guitarfish,Pseudobatos prahli,NA,Pseudobatos prahli,binding,Appendix,Binding,CITES Appendix II - Pseudobatos prahli (Gorgona guitarfish).,NA,NA
NEAFC,2024,NA,Rajiformes,NA,NA,binding,Recommendation,Recommendation 10:2024BindingReplaces,Recommendation on Conservation and Management Measures for Deep Sea Rays (Rajiformes) in the NEAFC Regulatory Area from 2024 to 2027.,NA,NA
CITES,2019,Bowmouth guitarfish,Rhina ancylostomus,Bowmouth guitarfish,Rhina ancylostoma,binding,Appendix,Binding,CITES Appendix II - Rhina ancylostoma (Bowmouth guitarfish).,NA,NA
CMS,1999,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Appendix,Non Binding,"CMS Appendices I (2017) & II (1999), Sharks (2010) - Rhincodon typus (Whale shark).",NA,NA
CITES,2003,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Appendix,Binding,CITES Appendix II - Rhincodon typus (Whale shark).,NA,NA
IOTC,2013,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Resolution,Resolution 13/05Binding,On the Conservation of Whale Sharks (Rhincodon typus).,NA,NA
WCPFC,2015,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Recommendation,Suppl_CMM 2019-04 (whale sharks)Non Binding,Guidelines for the safe release of encircled whale sharks.,NA,NA
WCPFC,2019,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Recommendation,Suppl_CMM 2019-04 (Sharks)Non Binding,Best handling practices for the safe release of Sharks (other than Whale Sharks and Mantas/Mobulids).,NA,NA
IATTC,2019,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Resolution,Resolution C-19-06Binding,Conservation of whale sharks.,NA,NA
ICCAT,2023,Whale shark,Rhincodon typus,Whale Shark,Rhincodon typus,binding,Recommendation,Rec. 23-12Binding,Recommendation by ICCAT for the conservation of whale sharks (Rhincodon typus) caught in association with ICCAT fisheries.,NA,NA
CITES,2022,Whitespotted guitarfish,Rhinobatos albomaculatus,Whitespotted guitarfish,Rhinobatos albomaculatus,binding,Appendix,Binding,CITES Appendix II - Rhinobatos albomaculatus (Whitespotted guitarfish).,NA,NA
CITES,2022,Annandale's guitarfish,Rhinobatos annandalei,NA,Rhinobatos annandalei,binding,Appendix,Binding,CITES Appendix II - Rhinobatos annandalei (Annandale's guitarfish).,NA,NA
CITES,2022,Slender guitarfish,Rhinobatos holcorhynchus,NA,Rhinobatos holcorhynchus,binding,Appendix,Binding,CITES Appendix II - Rhinobatos holcorhynchus (Slender guitarfish).,NA,NA
CITES,2022,NA,Rhinobatos hynnicephalus,NA,Rhinobatos hynnicephalus,binding,Appendix,Binding,CITES Appendix II - Rhinobatos hynnicephalus.,NA,NA
CITES,2022,NA,Rhinobatos irvinei,Spineback guitarfish,Rhinobatos irvinei,binding,Appendix,Binding,CITES Appendix II - Rhinobatos irvinei (Spineback guitarfish).,NA,NA
CITES,2022,NA,Rhinobatos lionotus,NA,Rhinobatos lionotus,binding,Appendix,Binding,CITES Appendix II - Rhinobatos lionotus.,NA,NA
CITES,2022,NA,Rhinobatos punctifer,NA,Rhinobatos punctifer,binding,Appendix,Binding,CITES Appendix II - Rhinobatos punctifer.,NA,NA
CMS,2017,Common guitarfish,Rhinobatos rhinobatos,Common guitarfish,Rhinobatos rhinobatos,binding,Appendix,Non Binding,"CMS Appendices I (Mediterranean population) & II, Sharks (2018) - Rhinobatos rhinobatos (Common guitarfish).",NA,NA
CITES,2022,Common guitarfish,Rhinobatos rhinobatos,Common guitarfish,Rhinobatos rhinobatos,binding,Appendix,Binding,CITES Appendix II - Rhinobatos rhinobatos (Common guitarfish).,NA,NA
CITES,2022,Brown guitarfish,Rhinobatos schlegelii,Brown guitarfish,Rhinobatos schlegelii,binding,Appendix,Binding,CITES Appendix II - Rhinobatos schlegelii (Brown guitarfish).,NA,NA
CITES,2022,Milk shark,Rhizoprionodon acutus,NA,Rhizoprionodon acutus,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon acutus (Milk shark).,NA,NA
CITES,2022,Brazilian sharpnose shark,Rhizoprionodon lalandii,NA,Rhizoprionodon lalandii,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon lalandii (Brazilian sharpnose shark).,NA,NA
CITES,2022,Pacific sharpnose shark,Rhizoprionodon longurio,NA,Rhizoprionodon longurio,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon longurio (Pacific sharpnose shark).,NA,NA
CITES,2022,Grey sharpnose shark,Rhizoprionodon oligolinx,NA,Rhizoprionodon oligolinx,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon oligolinx (Grey sharpnose shark).,NA,NA
CITES,2022,Caribbean sharpnose shark,Rhizoprionodon porosus,NA,Rhizoprionodon porosus,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon porosus (Caribbean sharpnose shark).,NA,NA
CITES,2022,Australian sharpnose shark,Rhizoprionodon taylori,NA,Rhizoprionodon taylori,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon taylori (Australian sharpnose shark).,NA,NA
CITES,2022,Atlantic sharpnose shark,Rhizoprionodon terraenovae,NA,Rhizoprionodon terraenovae,binding,Appendix,Binding,CITES Appendix II - Rhizoprionodon terraenovae (Atlantic sharpnose shark).,NA,NA
CMS,2017,Whitespotted wedgefish,Rhynchobatus australiae,Whitespotted wedgefish,Rhynchobatus australiae,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2018) - Rhynchobatus australiae (Whitespotted wedgefish).",NA,NA
CITES,2019,Whitespotted wedgefish,Rhynchobatus australiae,Whitespotted wedgefish,Rhynchobatus australiae,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus australiae (Whitespotted wedgefish).,NA,NA
CITES,2019,Clown wedgefish,Rhynchobatus cooki,Clown wedgefish,Rhynchobatus cooki,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus cooki (Clown wedgefish).,NA,NA
CITES,2019,Giant guitarfish,Rhynchobatus djiddensis,Giant guitarfish,Rhynchobatus djiddensis,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus djiddensis (Giant guitarfish).,NA,NA
CITES,2019,Taiwanese wedgefish,Rhynchobatus immaculatus,Taiwanese wedgefish,Rhynchobatus immaculatus,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus immaculatus (Taiwanese wedgefish).,NA,NA
CITES,2019,Smoothnose wedgefish,Rhynchobatus laevis,Smoothnose wedgefish,Rhynchobatus laevis,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus laevis (Smoothnose wedgefish).,NA,NA
CITES,2019,African wedgefish,Rhynchobatus luebberti,African wedgefish,Rhynchobatus luebberti,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus luebberti (African wedgefish).,NA,NA
CITES,2019,Eyebrow wedgefish,Rhynchobatus palpebratus,Eyebrow wedgefish,Rhynchobatus palpebratus,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus palpebratus (Eyebrow wedgefish).,NA,NA
CITES,2019,Broadnose wedgefish,Rhynchobatus springeri,Broadnose wedgefish,Rhynchobatus springeri,binding,Appendix,Binding,CITES Appendix II - Rhynchobatus springeri (Broadnose wedgefish).,NA,NA
CITES,2019,False shark ray,Rhynchorhina mauritaniensis,False shark ray,Rhynchorhina mauritaniensis,binding,Appendix,Binding,CITES Appendix II - Rhynchorhina mauritaniensis (False shark ray).,NA,NA
CITES,2022,Spadenose shark,Scoliodon laticaudus,NA,Scoliodon laticaudus,binding,Appendix,Binding,CITES Appendix II - Scoliodon laticaudus (Spadenose shark).,NA,NA
CITES,2022,Scalloped bonnethead,Sphyrna corona,Bonnethead,Sphyrna corona,binding,Appendix,Binding,CITES Appendix II - Sphyrna corona (Scalloped bonnethead).,NA,NA
CITES,2013,Scalloped hammerhead,Sphyrna lewini,Scalloped hammerhead,Sphyrna lewini,binding,Appendix,Binding,CITES Appendix II - Sphyrna lewini (Scalloped hammerhead).,NA,NA
CMS,2014,Scalloped hammerhead,Sphyrna lewini,Scalloped hammerhead,Sphyrna lewini,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2016) - Sphyrna lewini (Scalloped hammerhead).",NA,NA
CITES,2022,Scoophead,Sphyrna media,NA,Sphyrna media,binding,Appendix,Binding,CITES Appendix II - Sphyrna media (Scoophead).,NA,NA
CITES,2013,Great hammerhead,Sphyrna mokarran,Great hammerhead,Sphyrna mokarran,binding,Appendix,Binding,CITES Appendix II - Sphyrna mokarran (Great hammerhead shark).,NA,NA
CMS,2014,Great hammerhead,Sphyrna mokarran,Great hammerhead,Sphyrna mokarran,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2016) - Sphyrna mokarran (Great hammerhead).",NA,NA
CITES,2022,Bonnethead,Sphyrna tiburo,Bonnethead,Sphyrna tiburo,binding,Appendix,Binding,CITES Appendix II - Sphyrna tiburo (Bonnethead).,NA,NA
CITES,2022,Smalleye hammerhead,Sphyrna tudes,NA,Sphyrna tudes,binding,Appendix,Binding,CITES Appendix II - Sphyrna tudes (Smalleye hammerhead).,NA,NA
CITES,2013,Smooth hammerhead,Sphyrna zygaena,Smooth hammerhead,Sphyrna zygaena,binding,Appendix,Binding,CITES Appendix II - Sphyrna zygaena (Smooth hammerhead shark).,NA,NA
CMS,2020,Smooth hammerhead,Sphyrna zygaena,Smooth hammerhead,Sphyrna zygaena,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2018) - Smooth Hammerhead Shark (Sphyrna zygaena).",NA,NA
ICCAT,2010,NA,Sphyrnidae,Hammerhead sharks,NA,binding,Recommendation,Rec. 10-08Binding,Recommendation by ICCAT on hammerhead sharks (Family sphyrnidae) caught in association with fisheries managed by ICCAT.,NA,NA
NEAFC,2023,NA,Squalus acanthias,NA,Squalus acanthias,binding,Recommendation,Recommendation 05:2023BindingReplaces,"Recommendation on Conservation and Management Measures for Spurdog (Squalus acanthias) in ICES Subareas 1–10, 12 and 14 for 2023 and 2024.",NA,NA
CMS,2008,Picked dogfish,Squalus acanthias,Picked dogfish,Squalus acanthias,binding,Appendix,Non Binding,"CMS Appendix II, Sharks (2010) - Squalus acanthias (Picked dogfish) (Northern Hemisphere populations).",NA,NA
CMS,2017,Angelshark,Squatina squatina,Angelshark,Squatina squatina,binding,Appendix,Non Binding,"CMS Appendices I & II, Sharks (2018) - Squatina squatina (Angelshark).",NA,NA
CITES,2022,Whitetip reef shark,Triaenodon obesus,NA,Triaenodon obesus,binding,Appendix,Binding,CITES Appendix II - Triaenodon obesus (Whitetip reef shark).,NA,NA