exporter,species,landweight,tradeweight,domesticweight
AUS,Aetomylaeus caeruleofasciatus,-1,-9,2
AUS,Aptychotrema rostrata,0,-9,2
AUS,Aptychotrema timorensis,-2,-9,2
AUS,Aptychotrema vincentiana,-1,-9,2
AUS,Bathyraja eatonii,-2,-9,2
AUS,Bathyraja irrasa,-2,-9,2
AUS,Bathyraja ishiharai,-2,-9,2
AUS,Bathyraja murrayi,-2,-9,2
AUS,Bathyraja richardsoni,-2,-9,2
AUS,Bathyraja scaphiops,-2,-9,2
AUS,Bathytoshia brevicaudata,0,-2,2
AUS,Bathyraja shuntovi,-2,-2,2
AUS,Brochiraja aenigma,-2,-9,2
AUS,Brochiraja albilabiata,-2,-9,2
AUS,Brochiraja asperula,-2,-9,2
AUS,Brochiraja heuresa,-2,-9,2
AUS,Brochiraja leviveneta,-2,-9,2
AUS,Brochiraja microspinifera,-2,-9,2
AUS,Brochiraja spinifera,-2,-9,2
AUS,Brochiraja vittacauda,-2,-9,2
AUS,Carcharhinus obscurus,3,0,2
AUS,Carcharhinus plumbeus,3,0,2
AUS,Centrophorus harrissoni,-2,-2,2
AUS,Cirrhigaleus australis,-2,-2,2
AUS,Deania quadrispinosa,-2,-2,2
AUS,Dentiraja australis,0,-2,2
AUS,Dentiraja cerva,0,-2,2
AUS,Dentiraja confusa,0,-2,2
AUS,Dentiraja endeavouri,0,-2,2
AUS,Dentiraja falloarga,0,-2,2
AUS,Dentiraja flindersi,0,-2,2
AUS,Dentiraja healdi,0,-2,2
AUS,Dentiraja lemprieri,0,-2,2
AUS,Dentiraja oculus,0,-2,2
AUS,Dipturus acrobelus,0,-2,2
AUS,Dipturus apricus,0,-2,2
AUS,Dipturus canutus,0,-2,2
AUS,Dipturus grahamorum,0,-2,2
AUS,Dipturus gudgeri,0,-2,2
AUS,Dipturus maugeanus,-1,-2,2
AUS,Dipturus melanospilus,0,-2,2
AUS,Dipturus queenslandicus,0,-2,2
AUS,Dipturus wengi,0,-2,2
AUS,Etmopterus bigelowi,-2,-2,2
AUS,Etmopterus brachyurus,-2,-2,2
AUS,Etmopterus lucifer,-2,-2,2
AUS,Etmopterus molleri,-2,-2,2
AUS,Etmopterus pusillus,-2,-2,2
AUS,Etmopterus unicolor,-2,-2,2
AUS,Etmopterus viator,-2,-2,2
AUS,Furgaleus macki,3,-1,2
AUS,Mustelus antarcticus,3,-1,2
AUS,Gollum attenuatus,-2,-2,2
AUS,Gymnura australis,-2,-2,2
AUS,Hypnos monopterygius,-2,-2,2
AUS,Insentiraja laxipella,-2,-2,2
AUS,Insentiraja subtilispinosa,-2,-2,2
AUS,Irolita waitii,-2,-2,2
AUS,Irolita westraliensis,-2,-2,2
AUS,Leucoraja pristispina,-2,-2,2
AUS,Maculabatis astra,0,-2,2
AUS,Maculabatis toshi,0,-2,2
AUS,Myliobatis tenuicaudatus,2,-2,2
AUS,Narcinops lasti,0,-2,2
AUS,Narcinops nelsoni,0,-2,2
AUS,Narcinops ornata,0,-2,2
AUS,Narcinops tasmaniensis,0,-2,2
AUS,Narcinops westraliensis,0,-2,2
AUS,Neotrygon annotata,0,-2,2
AUS,Neotrygon australiae,0,-2,2
AUS,Neotrygon leylandi,0,-2,2
AUS,Neotrygon ningalooensis,0,-2,2
AUS,Neotrygon picta,0,-2,2
AUS,Neotrygon trigonoides,0,-2,2
AUS,Notoraja azurea,0,-2,2
AUS,Notoraja hirticauda,0,-2,2
AUS,Notoraja ochroderma,0,-2,2
AUS,Notoraja sapphira,0,-2,2
AUS,Notoraja sticta,0,-2,2
AUS,Okamejei arafurensis,0,-2,2
AUS,Okamejei leptoura,0,-2,2
AUS,Pavoraja alleni,0,-2,2
AUS,Pavoraja arenaria,0,-2,2
AUS,Pavoraja mosaica,0,-2,2
AUS,Pavoraja nitida,0,-2,2
AUS,Pavoraja pseudonitida,0,-2,2
AUS,Pavoraja umbrosa,0,-2,2
AUS,Notorynchus cepedianus,2,-2,2
AUS,Oxynotus bruniensis,-1,-2,2
AUS,Rajella challengeri,0,-2,2
AUS,Rhinobatos sainsburyi,0,-2,2
AUS,Rhinoptera neglecta,0,-2,2
AUS,Scymnodalatias sherwoodi,-2,-2,2
AUS,Scymnodon plunketi,-2,-2,2
AUS,Sinobatis bulbicauda,-1,-2,2
AUS,Sinobatis caerulea,-1,-2,2
AUS,Sinobatis filicauda,-1,-2,2
AUS,Somniosus antarcticus,-1,-2,2
AUS,Somniosus longus,-1,-2,2
AUS,Somniosus pacificus,-1,-2,2
AUS,Sphyrna lewini,2,-2,2
AUS,Sphyrna mokarran,2,-2,2
AUS,Sphyrna zygaena,2,-2,2
AUS,Squatina pseudocellata,-1,-2,2
AUS,Trygonoptera galba,-1,-2,2
AUS,Trygonoptera imitata,-1,-2,2
AUS,Trygonoptera mucosa,-1,-2,2
AUS,Trygonoptera ovalis,-1,-2,2
AUS,Trygonoptera personata,-1,-2,2
AUS,Trygonoptera testacea,-1,-2,2
AUS,Trygonorrhina dumerilii,-1,-2,2
AUS,Trygonorrhina fasciata,-1,-2,2
AUS,Urogymnus acanthobothrium,-1,-2,2
AUS,Urogymnus asperrimus,-1,-2,2
AUS,Urogymnus dalyensis,-1,-2,2
AUS,Urolophus bucculentus,-1,-2,2
AUS,Urolophus circularis,-1,-2,2
AUS,Urolophus cruciatus,-1,-2,2
AUS,Urolophus expansus,-1,-2,2
AUS,Urolophus flavomosaicus,-1,-2,2
AUS,Urolophus gigas,-1,-2,2
AUS,Urolophus kapalensis,-1,-2,2
AUS,Urolophus lobatus,-1,-2,2
AUS,Urolophus mitosis,-1,-2,2
AUS,Urolophus orarius,-1,-2,2
AUS,Urolophus paucimaculatus,-1,-2,2
AUS,Urolophus piperatus,-1,-2,2
AUS,Urolophus sufflavus,-1,-2,2
AUS,Urolophus viridis,-1,-2,2
AUS,Urolophus westraliensis,-1,-2,2
AUS,Heterodontus portusjacksoni,-1,-2,2
AUS,Heterodontus zebra,-1,-2,2
NZL,Scymnodalatias sherwoodi,-1,-2,2
NZL,Scymnodon plunketi,-1,-2,2
NZL,Parmaturus macmillani,-1,-2,2
NZL,Bathyraja shuntovi,1,2,0
NZL,Cephaloscyllium isabellum,1,-1,0
NZL,Cirrhigaleus australis,1,-1,0
NZL,Myliobatis tenuicaudatus,2,2,0
CHL,Dipturus chilensis,2,2,0
CHL,Dipturus trachydermus,2,2,0
CHL,Isurus oxyrinchus,2,2,0
CHL,Prionace glauca,2,2,0
URY,Alopias vulpinus,1,0,2
URY,Carcharhinus brachyurus,1,0,2
URY,Carcharhinus signatus,1,0,0
URY,Carcharias taurus,2,0,2
URY,Galeorhinus galeus,1,0,0
URY,Isurus oxyrinchus,1,0,0
URY,Mustelus schmitti ,2,1,1
URY,Mustelus fasciatus,0,0,0
URY,Notorynchus cepedianus,1,0,1
URY,Lamna nasus,1,0,0
URY,Sphyrna zygaena,1,1,1
URY,Squalus acanthias,1,0,1
URY,Squatina argentina,1,0,1
URY,Squatina guggenheim,2,1,1
URY,Squatina occulta,1,1,1
URY,Prionace glauca,2,2,0
URY,Pseudobatos horkelii,0,0,1
URY,Zapteryx brevirostris,0,0,0
URY,Atlantoraja castelnaui,0,0,1
URY,Discopyge castelloi,-1,0,0
URY,Discopyge tschudii,-1,0,0
URY,Myliobatis freminvillei,0,0,0
URY,Myliobatis goodei,1,0,1
URY,Myliobatis ridens,0,0,1
URY,Psammobatis bergi,-1,0,0
URY,Rioraja agassizi,-1,0,0
URY,Sympterygia bonapartii,-1,0,0
URY,Tetronarce puelcha,-1,0,0
USA,Beringraja rhina,1,3,0
MEX,Cephaloscyllium ventriosum,0,0,0
MEX,Gymnura crebripunctata,2,0,0
MEX,Gymnura marmorata,1,0,0
MEX,Hypanus longus,0,0,0
MEX,Hypanus dipterurus,1,0,0
MEX,Pseudobatos glaucostigmus,2,0,0
MEX,Tetronarce californica,0,0,0
MEX,Zapteryx exasperata,1,0,0
MEX,Caliraja stellulata,-1,0,0
USA,Caliraja stellulata,-1,0,0
NZL,Alopias vulpinus,-1,0,0
NZL,Aprisuturs pinguis,0,-3,0
NZL,Centrophorus harrissoni,-3,0,0
NZL,Cephaloscyllium isabellum,-2,-2,0
NZL,Cephaloscyllium variegatum,-2,-2,0
NZL,Cirrhigaleus australis,-3,0,0
NZL,Heterodonotus portusjacksoni,-999,-2,0
NZL,Oxynotus bruniensis,0,-1,0
NZL,Somniosus longus,-1,-1,0
NZL,Isurus oxyrinchus,0,-1,2
NZL,Lamna nasus,0,-1,2
NZL,Cirrhigaleus australis ,-1,-1,0
NZL,Myliobatis tenuicaudatus,0,-2,0
NZL,Parmaturus macmillani,-2,-3,0
NZL,Scymnodon plunketi,-2,-2,0
AUS,Scymnodon plunketi,-2,-2,0
IND,Aetobatus ocellatus ,2,2,0
IND,Aetomylaeus vespertilio ,1,2,0
IND,Amblyraja badia ,-999,-3,0
IND,Anoxypristis cuspidata,-3,-2,0
IND,Apristurus macrostomus,-2,-2,0
IND,Atelomycterus marmoratus ,-2,-2,0
IND,Anoxypristis cuspidata,-3,-2,0
IND,Pristis clavata,-3,-2,0
IND,Pristis pectinata,-3,-2,0
IND,Pristis zijsron,-3,-2,0
IND,Pristis pristis,-3,-2,0
IND,Benthobatis moresbyi ,-2,-3,0
IND,Carcharodon carcharias,-999,-3,0
IND,Centrophorus granulosus,-2,-1,1
IND,Centroscyllium ornatum,-3,-3,0
IND,Centroselachus crepidater,-3,-3,0
IND,Chiloscyllium hasselti,-3,-3,0
IND,Chiloscyllium indicum,0,2,0
IND,Dipturus springeri,-2,-2,0
IND,Etmopterus pusillus,-3,-2,0
IND,Euprotomicrus bispinatus,-3,-2,0
IND,Glaucostegus thouin,-3,-2,0
IND,Glyphis gangeticus,-3,-2,0
IND,Gymnura poecilura,1,2,0
IND,Gymnura tentaculata,0,1,0
IND,Gymnura zonura,0,1,0
IND,Hemigaleus microstoma,-2,-1,0
IND,Himantura leoparda,2,2,0
IND,Himantura uarnak,2,2,0
IND,Himantura undulata,2,2,0
IND,Megachasma pelagios,-3,-2,0
IND,Megatrygon microps,-2,-2,0
IND,Mobula alfredi ,0,0,0
IND,Mobula kuhlii,0,0,0
IND,Mobula mobular,0,0,0
IND,Mobula tarapacana,0,0,0
IND,Mobula thurstoni,0,0,0
IND,Mustelus mosis ,0,-1,0
IND,Proscyllium magnificum,-2,-1,0
IND,Pteroplatytrygon violacea,-2,0,0
IND,Rhincodon typus,-2,-2,0
IND,Rhizoprionodon acutus,2,2,0
IND,Stegostoma tigrinum,1,2,0
IND,Temera hardwickii,0,-2,0
ARG,Bathyraja magellanica,0,1,0
ARG,Sphyrna zygaena ,0,-2,0
ARG,Sphyrna tudes,-1,1,0
ARG,Squalus acanthias ,0,1,0
ARG,Squalus lobularis,0,2,0
ARG,Squalus cubensis,0,2,0
ARG,Squatina occulta,0,2,0
ARG,Dipturus brevicaudatus,3,2,0
ARG,Sympterygia acuta ,0,1,0
ARG,Dipturus argentinensis,0,0,0
ARG,Bathyraja papilionifera,-2,-2,0
ARG,Centroscyllium fabricii,-2,-2,0
ARG,Dipturus lamilai,0,0,0
BEL,Squalus blainville,-999,0,0
CAN,Squalus suckleyi,1,0,0
JPN,Squalus suckleyi,1,0,0
GHA,Aetobatus narinari,1,-2,2
GHA,Gymnura altavela,2,-2,2
GHA,Gymnura sereti,0,-2,2
GHA,Mobula tarapacana,2,-2,2
GHA,Mobula birostris,0,-2,2
GHA,Mobula hypostoma,0,-2,2
GHA,Mobula mobular,0,-2,2
GHA,Zanobatus maculatus,1,-1,1
GHA,Raja parva,0,-1,1
GHA,Torpedo torpedo,-2,-1,0
GHA,Alopias superciliosus,0,0,0
GHA,Alopias vulpinus,0,0,0
GHA,Isurus paucus,-2,0,0
ESP,Raja asterias,2,-1,1
ESP,Raja clavata,3,1,-1
ESP,Raja montagui,1,1,-1
ESP,Raja miraletus,1,1,-1
ESP,Raja brachyura,1,1,-1
ESP,Leucoraja circularis,-2,-1,1
ESP,Leucoraja fullonica,-1,0,0
ESP,Leucoraja naevus,2,1,-1
ESP,Rostroraja alba,-2,0,0
ESP,Dipturus batis,-2,-2,0
ESP,Dipturus nidarosiensis,-1,0,-1
ESP,Dipturus oxyrinchus,-1,0,0
ESP,Dasyatis pastinaca,-2,0,0
ESP,Taeniurops grabatus,-2,-1,1
ESP,Gymnura altavela,-2,-1,0
ESP,Myliobatis aquila,-2,-1,0
ESP,Tetronarce nobiliana,-2,-2,2
ESP,Torpedo marmorata,-2,-2,2
ESP,Torpedo torpedo,-2,-2,2
ESP,Glaucostegus cemiculus,-2,-2,1
ESP,Rajella fyllae,-1,0,0
ESP,Rajella kukujevi,-2,0,0
ESP,Hexanchus nakamurai,-999,0,0
ESP,Squalus acanthias,1,2,-2
ESP,Etmopterus princeps,-2,0,0
ESP,Centroscymnus owstonii,0,2,-2
ESP,Somniosus microcephalus,-2,-2,0
ESP,Somniosus rostratus,-2,-2,0
ESP,Oxynotus centrina,-2,0,0
ESP,Dalatias licha,-1,0,0
ESP,Squaliolus laticaudus,-2,-1,0
ESP,Centrophorus granulosus,0,0,0
ESP,Centrophorus squamosus,0,0,0
ESP,Deania profundorum,0,1,0
ESP,Deania calcea,0,1,0
ESP,Scyliorhinus stellaris,-1,0,0
ESP,Galeorhinus galeus,1,1,-1