Exporter,Original,Reduced,year,group,Net_diff
Portugal,289954.37047744455,108302.75173437638,1091596,rayssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksraysrayssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharkssharkssharkssharksraysrayssharksrayssharksraysrayssharkssharkssharkssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharksrayssharkssharksraysrayssharksrayssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharksraysrayssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksraysrayssharkssharkssharkssharkssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,181651.6187430682
Spain,299576.164,188131.17218694443,1503698,sharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharksraysraysrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,111444.99181305557
Uruguay,118192.81742806574,12856.792821628274,179457,sharkssharkssharksraysrayssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharkssharksraysrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharksrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharks,105336.02460643747
Namibia,124846.15420962189,20215.25031111457,371075,sharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharksrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksraysrayssharksrayssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksraysraysrayssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,104630.90389850733
"Other Asia, nes",191015.6164,92919.01091121678,409722,sharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,98096.60548878321
Singapore,87523.88407023132,754.8764701902388,399355,sharkssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksraysrayssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharksraysrayssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharksraysrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,86769.00760004108
Japan,129042.4676,86599.66120945776,405662,sharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,42442.806390542246
Panama,54788.11765797558,13849.377419328035,320669,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharksraysraysrayssharkssharkssharkssharksraysraysrayssharkssharkssharkssharkssharksrayssharkssharkssharksraysraysrayssharkssharkssharkssharkssharksrayssharkssharkssharksraysraysrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharks,40938.740238647544
Netherlands,34175.62826438458,4858.515501200558,970132,rayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksraysrayssharkssharksraysrayssharkssharksrayssharkssharksrayssharksrayssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharksraysrayssharkssharksraysrayssharkssharkssharkssharksrayssharksraysrayssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharksraysrayssharksrayssharksrayssharkssharksraysrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksraysrayssharkssharksrayssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharkssharksraysrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharksraysrayssharkssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharkssharkssharksraysraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksraysraysrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksraysraysrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksraysraysrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,29317.112763184017
Vanuatu,30181.413625926896,4702.0,58526,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,25479.413625926896
USA,58082.442,35308.21275409086,462351,sharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharksraysraysrayssharkssharksrayssharkssharksraysrayssharkssharksrayssharksrayssharksraysraysraysrayssharksraysraysrayssharkssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharksraysrayssharksraysrayssharkssharksraysrayssharksrayssharkssharkssharksraysraysraysrayssharkssharkssharksraysraysraysrayssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharksraysrayssharksraysrayssharkssharksraysrayssharksrayssharkssharkssharksraysraysraysrayssharkssharkssharksraysraysraysrayssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharksraysrayssharksraysrayssharkssharksraysrayssharksrayssharkssharkssharksraysraysraysrayssharkssharkssharksraysraysraysrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharks,22774.229245909137
Senegal,36762.3388,14807.931563748429,244210,sharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,21954.407236251573
