Exporter,Original,Reduced,year,group,Net_diff
South Africa,27270.243516490224,12750.459585032268,343034,sharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,14519.783931457958
Denmark,15322.614195099615,1019.4256076233016,762459,sharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharkssharkssharksrayssharksraysrayssharksrayssharkssharkssharksraysrayssharksraysrayssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharkssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharkssharksrayssharksraysraysrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksraysrayssharkssharksraysrayssharkssharkssharksrayssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksraysrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksraysrayssharkssharksrayssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksrayssharkssharkssharkssharksrayssharksraysrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,14303.188587476314
Ireland,13049.5028,0.0,308553,sharksrayssharksraysrayssharksrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharksraysrayssharkssharksraysrayssharkssharksrayssharksrayssharkssharksrayssharkssharksraysraysrayssharksrayssharkssharkssharksraysrayssharkssharksrayssharkssharkssharksraysraysrayssharksrayssharksrayssharksraysrayssharkssharksrayssharkssharksraysrayssharksrayssharksraysraysrayssharksrayssharksraysraysraysraysrayssharksrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysrayssharksrayssharkssharksraysrayssharksrayssharksraysraysraysrayssharksrayssharksraysraysraysraysrayssharksrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksraysraysraysrayssharksrays,13049.5028
Belize,17300.9106,6517.76138416365,92752,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharksraysrayssharkssharkssharkssharkssharksraysrayssharksraysrayssharksraysrayssharksraysrays,10783.14921583635
Argentina,30324.1248,23336.766586407834,48408,sharksraysrayssharkssharkssharksraysraysrayssharksraysrayssharksraysraysrayssharkssharksraysraysraysrayssharkssharks,6987.358213592167
Seychelles,6800.182546351263,0.0,112975,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,6800.182546351263
Croatia,6276.3268,0.0,171453,sharksrayssharkssharksrayssharkssharkssharksrayssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharksrayssharksrayssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharks,6276.3268
Mauritius,6050.748234394905,0.0,92729,sharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,6050.748234394905
C̫te d'Ivoire,5704.918,0.0,20188,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,5704.918
Belgium,11195.5916,5789.187432314132,175593,sharksraysraysraysraysraysrayssharksraysrayssharksraysrayssharksrayssharksrayssharksraysraysrayssharksrayssharksrayssharksraysrayssharksrayssharkssharksraysraysraysraysraysrayssharksraysrayssharksrayssharksrayssharksrayssharksrayssharkssharksraysraysraysrayssharksrayssharksraysrayssharksrayssharksraysraysraysrayssharksrayssharksraysrayssharksrayssharksraysraysraysrayssharksrayssharksraysrayssharksrayssharks,5406.404167685869
Suriname,5397.712,0.0,119003,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,5397.712
Marshall Isds,4778.228,0.0,34295,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,4778.228
Falkland Isds (Malvinas),4269.1332,0.0,46379,raysraysraysraysraysraysrayssharksraysraysraysraysraysraysraysraysrayssharksrayssharksrayssharksrays,4269.1332
Ecuador,17311.3312,13097.520029861042,78727,raysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,4213.811170138959
Kazakhstan,3825.564,0.0,36323,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharks,3825.564
Myanmar,3745.5116000000003,0.0,48398,sharkssharkssharkssharkssharksraysraysrayssharksraysraysraysraysraysraysraysraysraysraysraysraysraysraysrays,3745.5116000000003
El Salvador,3654.5499999999997,0.0,18146,sharkssharkssharkssharkssharkssharkssharkssharkssharks,3654.5499999999997
Pakistan,10076.56,6642.9873896815425,36342,raysraysraysrayssharksrayssharksraysrayssharksrayssharksraysrayssharksrayssharksrays,3433.5726103184575
China,43984.7288,40562.89302898629,270546,sharkssharkssharkssharksrayssharksraysrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,3421.8357710137093
Chile,8871.470800000001,5573.5396105807295,48414,sharksrayssharksrayssharkssharksrayssharkssharksraysraysrayssharkssharksraysraysraysraysraysraysraysraysrayssharks,3297.93118941927
Sweden,3154.0107284662076,0.0,292429,sharkssharksrayssharkssharksrayssharkssharkssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharkssharksraysrayssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharksrayssharkssharksrayssharkssharksrayssharksrayssharksraysrayssharksrayssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksrayssharkssharksrayssharksrayssharksrayssharksrayssharksrayssharksrayssharksraysrayssharksrayssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharksrayssharksrayssharksraysrayssharksrayssharkssharkssharkssharkssharksrays,3154.0107284662076
Fiji,3123.502,0.0,56444,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,3123.502
Iceland,3109.902,0.0,330763,raysraysrayssharkssharksrayssharksrayssharksraysrayssharksraysraysrayssharksraysraysrayssharksraysraysraysrayssharkssharksraysraysraysrayssharksraysraysrayssharksraysraysraysraysraysrayssharksraysrayssharksraysrayssharksraysraysrayssharksrayssharksraysraysrayssharksrayssharksraysraysrayssharksraysraysraysraysraysraysraysrayssharksraysraysraysraysraysraysraysraysraysraysraysraysrayssharksraysrayssharkssharksrayssharksrayssharkssharksraysraysrayssharksrayssharksrayssharksraysraysrayssharksraysrayssharksraysraysraysrayssharksraysraysraysraysrayssharksraysraysrayssharksraysraysraysraysraysrayssharksraysraysrayssharksraysraysrayssharksraysraysraysraysraysrayssharksraysraysrayssharksraysraysrayssharksraysraysraysraysraysrayssharksrays,3109.902
Norway,5999.618,3202.6060276623894,96912,sharksraysraysrayssharksrayssharksrayssharkssharksraysrayssharksraysraysrayssharksrayssharksrayssharksraysrayssharksraysraysrayssharksrayssharksrayssharksraysrayssharksraysraysrayssharksrayssharksrayssharksraysrayssharkssharkssharks,2797.011972337611
New Zealand,14895.3484,12248.556632778895,250356,sharkssharkssharkssharkssharksraysraysrayssharksrayssharksrayssharksrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksraysraysrayssharksrayssharkssharkssharksraysrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksraysraysrayssharksrayssharkssharkssharksraysrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharksraysraysrayssharksrayssharkssharkssharksraysrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,2646.7917672211056
Germany,2550.0922227872675,0.0,367105,sharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksraysrayssharkssharksrayssharksraysrayssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharksrayssharksraysraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksraysrayssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharksrayssharkssharkssharkssharkssharksraysrayssharkssharkssharkssharkssharkssharkssharkssharkssharks,2550.0922227872675
United Kingdom,8818.0288,6406.559749613437,155463,sharksrayssharksraysrayssharkssharkssharkssharksraysrayssharksrayssharkssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharksraysraysrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharksraysraysrayssharksrayssharkssharkssharksrayssharksrayssharksraysrayssharkssharkssharkssharkssharksraysraysrayssharksrayssharkssharkssharkssharkssharkssharkssharkssharks,2411.4690503865636
Trinidad and Tobago,3765.977306225716,1426.3770568287794,18112,sharkssharkssharkssharkssharkssharkssharkssharkssharks,2339.6002493969368
Turkey,1992.9944,0.0,92755,rayssharksrayssharksrayssharksraysraysrayssharksraysraysrayssharksraysraysrayssharksrayssharksraysrayssharksrayssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharkssharksrayssharkssharksrayssharkssharks,1992.9944
Kenya,1750.308,0.0,60534,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,1750.308
Uganda,1398.9180000000001,0.0,28176,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,1398.9180000000001
"China, Hong Kong SAR",6320.898,4984.28158176218,86785,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,1336.6164182378195
Slovenia,943.6720045044331,0.0,88756,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharkssharkssharkssharks,943.6720045044331
Br. Indian Ocean Terr.,943.2270579860921,0.0,22183,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,943.2270579860921
Maldives,923.0576,0.0,10080,sharkssharksrayssharkssharks,923.0576
Canada,3169.5252,2298.2702095465124,80752,rayssharksraysraysraysrayssharksraysrayssharksraysraysraysraysraysraysrayssharksrayssharksraysraysraysraysraysraysrayssharksrayssharksraysraysraysraysraysraysrayssharksrayssharks,871.2549904534878
Nicaragua,788.7708,0.0,48402,sharkssharksrayssharkssharksraysrayssharksraysraysraysraysraysraysraysraysraysraysraysraysraysraysraysrays,788.7708
Gambia,787.312,0.0,12084,sharkssharkssharkssharkssharkssharks,787.312
Cabo Verde,769.63,0.0,8053,sharkssharkssharkssharks,769.63
Guinea,720.32,0.0,14115,raysraysraysraysraysraysrays,720.32
Estonia,574.4056,0.0,52457,raysrayssharkssharkssharkssharksraysrayssharksraysrayssharksraysraysrayssharksraysraysrayssharksraysraysrayssharksraysrays,574.4056
Czechia,546.2472,0.0,76653,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,546.2472
Saint Pierre and Miquelon,502.17440000000005,0.0,28228,raysraysraysraysraysraysraysraysraysraysraysraysraysrays,502.17440000000005
Papua New Guinea,481.4832,0.0,16127,sharkssharkssharkssharksraysraysraysrays,481.4832
American Samoa,481.04,0.0,4030,sharkssharks,481.04
French Polynesia,403.342,0.0,26233,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,403.342
Honduras,399.298,0.0,6043,sharkssharkssharks,399.298
Antigua and Barbuda,371.472,0.0,4036,raysrays,371.472
United Arab Emirates,351.01840000000004,0.0,38343,sharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharks,351.01840000000004
Saint Barth̩lemy,339.522,0.0,4031,sharkssharks,339.522
Guyana,307.5696,0.0,34296,rayssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,307.5696
Latvia,295.488,0.0,12086,sharkssharkssharkssharkssharkssharks,295.488
Poland,272.3364,0.0,68590,sharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharkssharkssharkssharkssharkssharksrayssharkssharksrayssharkssharksrayssharkssharkssharks,272.3364
Saint Vincent and the Grenadines,247.29399999999998,0.0,8065,sharkssharkssharkssharks,247.29399999999998
Lithuania,236.18,0.0,22169,sharkssharkssharkssharkssharkssharksrayssharkssharkssharkssharks,236.18
Grenada,159.08,0.0,4029,sharkssharks,159.08
Fr. South Antarctic Terr.,145.76960000000003,0.0,26227,raysraysraysrayssharksraysraysraysraysrayssharkssharkssharks,145.76960000000003
Wallis and Futuna Isds,144.3,0.0,4034,sharkssharks,144.3
FS Micronesia,120.554,0.0,2012,sharks,120.554
Belarus,117.562,0.0,2012,sharks,117.562
Somalia,108.74,0.0,20166,sharkssharkssharkssharkssharkssharksrayssharksrayssharks,108.74
Bulgaria,98.24,0.0,38316,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,98.24
Cyprus,86.518,0.0,26223,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,86.518
Gabon,84.48,0.0,10078,raysraysraysraysrays,84.48
Romania,80.3688,0.0,22178,sharkssharkssharksrayssharksrayssharkssharkssharksrayssharks,80.3688
Malta,64.9504,0.0,24199,sharkssharkssharkssharkssharksrayssharkssharksrayssharkssharkssharks,64.9504
Dem. People's Rep. of Korea,59.48,0.0,6040,sharkssharksrays,59.48
Greenland,58.78,0.0,26235,rayssharkssharksraysrayssharkssharksraysraysraysraysraysrays,58.78
Finland,54.6968,0.0,8066,sharkssharksrayssharks,54.6968
Austria,48.25,0.0,24216,sharksraysrayssharkssharksrayssharkssharkssharkssharkssharkssharks,48.25
Guatemala,47.4,0.0,6054,sharkssharkssharks,47.4
Hungary,41.512,0.0,20158,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,41.512
Slovakia,38.666,0.0,26227,sharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharkssharks,38.666
Togo,30.8,0.0,2015,sharks,30.8
Bosnia Herzegovina,23.257846153846153,0.0,14111,sharkssharkssharkssharkssharkssharkssharks,23.257846153846153
Luxembourg,22.2848,0.0,30272,raysraysraysraysrayssharksraysraysraysrayssharksrayssharksrayssharks,22.2848
Algeria,21.52,0.0,4034,sharkssharks,21.52
Georgia,15.868,0.0,4034,sharkssharks,15.868
Sudan,10.09,0.0,4037,sharkssharks,10.09
Rwanda,4.084,0.0,2015,sharks,4.084
Burkina Faso,4.0,0.0,2015,sharks,4.0
"China, Macao SAR",2.575,0.0,2016,sharks,2.575
Bahrain,2.0,0.0,2016,sharks,2.0
Saudi Arabia,1.08,0.0,2016,sharks,1.08
